iteration	epoch	batch	train_loss	train_time_per_img
1700	17	100	0.2031	0.8930
1710	18	10	0.1898	0.9176
1720	18	20	0.1845	0.9043
1730	18	30	0.2023	0.9046
1740	18	40	0.1966	0.9068
1750	18	50	0.2036	0.9054
1760	18	60	0.1975	0.9040
1770	18	70	0.2050	0.9029
1780	18	80	0.2153	0.9030
1790	18	90	0.2040	0.9077
1800	18	100	0.2175	0.8942
1810	19	10	0.1925	0.9193
1820	19	20	0.1941	0.9052
1830	19	30	0.1869	0.9021
1840	19	40	0.2378	0.9082
1850	19	50	0.1879	0.9061
1860	19	60	0.2033	0.9068
1870	19	70	0.1973	0.9019
1880	19	80	0.1940	0.8999
1890	19	90	0.1991	0.9038
1900	19	100	0.1924	0.8952
1910	20	10	0.1839	0.9166
1920	20	20	0.1790	0.9060
1930	20	30	0.1771	0.9042
1940	20	40	0.1764	0.9083
1950	20	50	0.2047	0.8990
1960	20	60	0.1697	0.9058
1970	20	70	0.1952	0.9087
1980	20	80	0.1696	0.9018
1990	20	90	0.1995	0.9062
2000	20	100	0.1894	0.8947
2010	21	10	0.1741	0.9174
2020	21	20	0.1786	0.9034
2030	21	30	0.2018	0.9035
2040	21	40	0.1635	0.9075
2050	21	50	0.1830	0.9063
2060	21	60	0.1826	0.9005
2070	21	70	0.2244	0.9057
2080	21	80	0.1736	0.9021
2090	21	90	0.1716	0.9053
2100	21	100	0.1897	0.8902
2110	22	10	0.1732	0.9139
2120	22	20	0.1724	0.9087
2130	22	30	0.1784	0.9025
2140	22	40	0.1923	0.9023
2150	22	50	0.2000	0.9061
2160	22	60	0.1855	0.9050
2170	22	70	0.1966	0.9098
2180	22	80	0.1873	0.9009
2190	22	90	0.1885	0.9015
2200	22	100	0.1855	0.8964
2210	23	10	0.1714	0.9116
2220	23	20	0.1582	0.8970
2230	23	30	0.1684	0.9099
2240	23	40	0.1646	0.8989
2250	23	50	0.1862	0.9041
2260	23	60	0.1770	0.9059
2270	23	70	0.1728	0.9104
2280	23	80	0.1804	0.9032
2290	23	90	0.1964	0.9079
2300	23	100	0.1838	0.8891
2310	24	10	0.1593	0.9145
2320	24	20	0.1647	0.9041
2330	24	30	0.1713	0.9002
2340	24	40	0.1628	0.9041
2350	24	50	0.1906	0.8984
2360	24	60	0.1672	0.8997
2370	24	70	0.1912	0.9006
2380	24	80	0.1884	0.8937
2390	24	90	0.1901	0.8933
2400	24	100	0.1693	0.8931
2410	25	10	0.1743	0.9181
2420	25	20	0.1658	0.9044
2430	25	30	0.1900	0.9016
2440	25	40	0.1723	0.9089
2450	25	50	0.1698	0.9037
